Date,Rank,Alpha,ISIN,Instrument,Primary,ICB Sub-Sector,Status,Free Float Pass,Liquidity Pass,Gross Market Capitalisation,ALSI Universe,Cumulative Market Capitalisation,ALSI Current,ALSI Change,ALSI New,Index Current,Index Change,Index New,TOPI Current,TOPI Change,TOPI New,DTOP Current,DTOP Change,DTOP New,RESI Current,RESI Change,RESI New,FINI Current,FINI Change,FINI New,INDI Current,INDI Change,INDI New,PCAP Current,PCAP Change,PCAP New,SAPY Current,SAPY Change,SAPY New,ALTI Universe,ALTI Current,ALTI Change,ALTI New,Board,Notes
2019-12-23 00:00:00.000,115,STP,GG00BFWMR296,Stenprop Limited,NULL,8671,"Foreign ",TRUE,TRUE,6354947972.25,TRUE,0.9791787037377677,ALSI,NULL,ALSI,SMLC,NULL,SMLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,"    ",RES,"    ",SAPY,,SAPY,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,123,SUI,ZAE000097580,Sun International Ltd,NULL,5752,NULL,TRUE,TRUE,5313365261.04,TRUE,0.9822346144692161,ALSI,NULL,ALSI,SMLC,NULL,SMLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,154,SUR,ZAE000022653,Spur Corporation Ltd,NULL,5757,NULL,TRUE,TRUE,2899695151.98,TRUE,0.9922137537580811,ALSI,NULL,ALSI,SMLC,NULL,SMLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,28,SVB,ZAE000086229,Silverbridge Holdings,NULL,9537,NULL,TRUE,FALSE,24347030.4,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,ALTI,NULL,ALTI,ALTI,NULL
2019-12-23 00:00:00.000,182,SVN,ZAE000012043,Sabvest Ltd -N-,NULL,8985,NULL,TRUE,TRUE,807123136.69,TRUE,0.9964148011715438,FLED,NULL,FLED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,186,SYG,ZAE000208815,Sygnia Limited,NULL,8771,NULL,TRUE,TRUE,1468130188.8900003,TRUE,0.9968705032624268,FLED,NULL,FLED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,259,TAS,ZAE000081162,Taste Hldgs Ltd,NULL,5757,NULL,TRUE,FALSE,111075047.4,TRUE,0.9999609797941258,FLED,NULL,FLED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,193,TBG,GB00BF37LF46,Tiso Blackstar Group SE,NULL,5553,"Foreign ",TRUE,TRUE,1155405455.4800003,TRUE,0.9974740055702536,FLED,NULL,FLED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,50,TBS,ZAE000071080,Tiger Brands Ltd,NULL,3577,NULL,TRUE,TRUE,40719956005.52,TRUE,0.898583480030645,ALSI,NULL,ALSI,MIDC,NULL,MIDC,TOPI,,TOPI,DTOP,,DTOP,NULL,NULL,NULL,NULL,NULL,NULL,INDI,,INDI,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,82,TCP,ZAE000167391,Transaction Capital Ltd,NULL,8775,NULL,TRUE,TRUE,13046541383.34,TRUE,0.9577510622644858,ALSI,NULL,ALSI,SMLC,NULL,SMLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
